polish,scientific,key,en,pl
jabłko,Malus domestica (Suckow) Borkh.,295873519,,Jabłoń domowa; jabłko
gruszka,,,,
śliwka,,,,
wiśnia,Prunus cerasus L. cerasus L.,159513020,,Wiśnia pospolita typowa
truskawka,Fragaria nubicola Lindl.,295828811,,truskawka himalajska
malina,×Turbiniphora Halda & Malina,7281657,,
porzeczka,Ribes L.,295435158,,Porzeczka
agrest,Rosa agrestis Savi,3002394,,Róża polna
borówka,Vaccinium L.,295376019,,Borówka
jeżyna,Rubus L.,295768984,,Jeżyna
arbuz,Citrullus Schrad. ex Eckl. & Zeyh.,295706125,,Arbuz
melon,,,,
banan,Musa L.,2760990,,Banan
pomarańcza,,,,
cytryna,Citrus × pyriformis,165581420,,
ananas,,,,
mango,,,,
kiwi,,,,
awokado,Persea Mill.,295658039,,awokado; smaczliwka
brzoskwinia,,,,
morela,,,,
czereśnia,Prunus avium (L.) L.,295896351,,Czereśnia; Wiśnia ptasia
winogrono,,,,
mandarynka,Citrus × reticulata Blanco,295482248,,Mandarynka
grejpfrut,Citrus aurantium f. aurantium,284263150,,Grejpfrut
granat,Punica L.,3188663,,Granat; Granatowiec
figa,,,,
daktyle,,,,
kokos,Cocos L.,296229596,,Kokos
marchew,Daucus L.,295896429,,Marchew
ziemniak,Solanum tuberosum subsp. tuberosum,101434264,,ziemniak
pomidor,Lycopersicon esculentum,159508518,,Pomidor zwyczajny
ogórek,Cucumis L.,295704933,,Ogórek
dynia,,,,
papryka,Capsicum L.,295469938,,Papryka
bakłażan,Solanum melongena L.,159508420,,
cebula,Allium cepa L.,296206831,,Cebula; Cebula zwyczajna; Czosnek cebula
czosnek,Allium,314454128,,Czosnek
sałata,Lactuca L.,294995988,,Sałata
kapusta,Brassica L.,295337358,,Kapusta
kalafior,Brassica oleracea var. botrytis L.,295337856,,kalafior
brokuł,Brassica oleracea var. italica Plenck,295337966,,brokuł
pietruszka,Petroselinum Hill,295864441,,Pietruszka
